university,group_code,reason
齐齐哈尔大学,206,无专业组映射
齐齐哈尔大学,210,无专业组映射
"省
齐齐哈尔大学",208,无专业组映射
牡丹江师范学院,210,无专业组映射
牡丹江师范学院,211,无专业组映射
牡丹江师范学院,213,无专业组映射
牡丹江师范学院,214,无专业组映射
牡丹江师范学院,208,无专业组映射
"东
牡丹江师范学院",212,无专业组映射
哈尔滨学院,209,无专业组映射
哈尔滨学院,206,无专业组映射
哈尔滨学院,207,无专业组映射
哈尔滨学院,208,无专业组映射
"广
哈尔滨学院",210,无专业组映射
哈尔滨商业大学,208,无专业组映射
哈尔滨商业大学,209,无专业组映射
哈尔滨商业大学,210,无专业组映射
哈尔滨商业大学,207,无专业组映射
哈尔滨体育学院,208,无专业组映射
哈尔滨体育学院,206,无专业组映射
哈尔滨金融学院,204,无专业组映射
哈尔滨金融学院,203,无专业组映射
复旦大学,206,无专业组映射
复旦大学,205,无专业组映射
同济大学,208,无专业组映射
同济大学,209,无专业组映射
同济大学,211,无专业组映射
同济大学,207,无专业组映射
同济大学(中外合作办学),210,无专业组映射
上海交通大学,206,无专业组映射
上海交通大学,207,无专业组映射
上海交通大学(中外合作办学),208,无专业组映射
华东理工大学,208,无专业组映射
华东理工大学,209,无专业组映射
华东理工大学,210,无专业组映射
华东理工大学,211,无专业组映射
华东理工大学,207,无专业组映射
上海理工大学,207,无专业组映射
上海理工大学,205,无专业组映射
上海理工大学(中外合作办学),208,无专业组映射
上海理工大学(中外合作办学),206,无专业组映射
上海海事大学,205,无专业组映射
上海海事大学,206,无专业组映射
上海海事大学,204,无专业组映射
东华大学,211,无专业组映射
东华大学,212,无专业组映射
东华大学,210,无专业组映射
上海电力大学,202,无专业组映射
上海健康医学院,204,无专业组映射
上海健康医学院,205,无专业组映射
上海健康医学院,206,无专业组映射
上海海洋大学,209,无专业组映射
上海海洋大学,206,无专业组映射
华东师范大学,212,无专业组映射
华东师范大学,213,无专业组映射
华东师范大学,209,无专业组映射
上海师范大学(中外合作办学),206,无专业组映射
上海师范大学(中外合作办学),205,无专业组映射
上海外国语大学(中外合作办学),214,无专业组映射
上海外国语大学(中外合作办学),211,无专业组映射
上海外国语大学,216,无专业组映射
上海外国语大学,209,无专业组映射
上海外国语大学,213,无专业组映射
上海财经大学,209,无专业组映射
上海财经大学,"育
210",无专业组映射
上海财经大学,207,无专业组映射
上海财经大学,208,无专业组映射
上海海关学院,208,无专业组映射
上海海关学院,209,无专业组映射
上海海关学院,210,无专业组映射
上海海关学院,206,无专业组映射
上海海关学院,207,无专业组映射
"教
华东政法大学",204,无专业组映射
上海体育大学,207,无专业组映射
上海体育大学,208,无专业组映射
上海体育大学,209,无专业组映射
上海体育大学,201,无专业组映射
上海体育大学,202,无专业组映射
"省
上海大学(中外合作办学)",203,无专业组映射
南京大学,205,无专业组映射
南京大学,204,无专业组映射
南京大学(中外合作办学),206,无专业组映射
苏州大学,214,无专业组映射
苏州大学,216,无专业组映射
苏州大学,217,无专业组映射
苏州大学,218,无专业组映射
苏州大学,211,无专业组映射
苏州大学,212,无专业组映射
苏州大学,213,无专业组映射
"东
苏州大学",215,无专业组映射
"广
东南大学",208,无专业组映射
南京航空航天大学,205,无专业组映射
南京航空航天大学,207,无专业组映射
南京航空航天大学,206,无专业组映射
南京航空航天大学(中外合作办学),208,无专业组映射
南京理工大学,207,无专业组映射
南京理工大学,206,无专业组映射
江苏科技大学,207,无专业组映射
江苏科技大学,208,无专业组映射
江苏科技大学,205,无专业组映射
江苏科技大学,206,无专业组映射
中国矿业大学,211,无专业组映射
中国矿业大学,213,无专业组映射
中国矿业大学,209,无专业组映射
