university_name,group_code,sample_major_name,suggested_majors,in_simple,auto_filled
广东艺术职业学院(协同培养),509,专业组509,,NO,NO
四川电影电视学院,"教
504","专业组教
504",,NO,NO
湘南幼儿师范高等专科学校,503,专业组503,,NO,NO
广东碧桂园职业学院,509,专业组509,,NO,NO
"省
广东肇庆航空职业学院",518,专业组518,,NO,NO
上饶幼儿师范高等专科学校,506,专业组506,,NO,NO
湛江幼儿师范专科学校,510,专业组510,,NO,NO
新疆和田学院,508,专业组508,,NO,NO
牡丹江大学,504,专业组504,,NO,NO
深圳职业技术大学,551,专业组551,,NO,NO
深圳职业技术大学,552,专业组552,,NO,NO
深圳职业技术大学,553,专业组553,,NO,NO
深圳职业技术大学,554,专业组554,,NO,NO
私立华联学院,504,专业组504,,NO,NO
私立华联学院,505,专业组505,,NO,NO
桂林师范学院,505,专业组505,,NO,NO
桂林师范学院(中外合作办学),506,专业组506,,NO,NO
海南职业技术学院,503,专业组503,,NO,NO
珠海艺术职业学院,504,专业组504,,NO,NO
罗定职业技术学院,501,专业组501,,NO,NO
阳江职业技术学院,511,专业组511,,NO,NO
阳江职业技术学院,513,专业组513,,NO,NO
河源职业技术学院,"育
516","专业组育
516",,NO,NO
昆明艺术职业学院,501,专业组501,,NO,NO
江西艺术职业学院,501,专业组501,,NO,NO
江西艺术职业学院,"教
502","专业组教
502",,NO,NO
汕头职业技术学院,505,专业组505,,NO,NO
汕头职业技术学院,506,专业组506,,NO,NO
"省
清远职业技术学院",521,专业组521,,NO,NO
清远职业技术学院,523,专业组523,,NO,NO
广东亚视演艺职业学院,503,专业组503,,NO,NO
广东省外语艺术职业学院,514,专业组514,,NO,NO
广东省外语艺术职业学院,515,专业组515,,NO,NO
"广
广东省外语艺术职业学院",516,专业组516,,NO,NO
广东省外语艺术职业学院,517,专业组517,,NO,NO
"广东省外语艺术职业学院(中外合作办
学)",519,专业组519,,NO,NO
"广东省外语艺术职业学院(中外合作办
学)",520,专业组520,,NO,NO
广东省外语艺术职业学院(协同培养),521,专业组521,,NO,NO
广东省外语艺术职业学院(协同培养),522,专业组522,,NO,NO
武汉商贸职业学院,503,专业组503,,NO,NO
湖南艺术职业学院,501,专业组501,,NO,NO
湖北艺术职业学院,501,专业组501,,NO,NO
昆明传媒学院,504,专业组504,,NO,NO
景德镇艺术职业大学,501,专业组501,,NO,NO
海南软件职业技术学院,504,专业组504,,NO,NO
广东文艺职业学院,503,专业组503,,NO,NO
广东文艺职业学院,504,专业组504,,NO,NO
广东文艺职业学院(协同培养),505,专业组505,,NO,NO
广东文艺职业学院(协同培养),506,专业组506,,NO,NO
江门职业技术学院,517,专业组517,,NO,NO
广州涉外经济职业技术学院,515,专业组515,,NO,NO
广州科技贸易职业学院,514,专业组514,,NO,NO
广州科技贸易职业学院,515,专业组515,,NO,NO
广东文理职业学院,504,专业组504,,NO,NO
广州城建职业学院,512,专业组512,,NO,NO
广东艺术职业学院,504,专业组504,,NO,NO
广东艺术职业学院,"育
505","专业组育
505",,NO,NO
广东艺术职业学院,506,专业组506,,NO,NO
广东艺术职业学院,507,专业组507,,NO,NO
四川电影电视学院,503,专业组503,,NO,NO
南阳农业职业学院,"教
503","专业组教
503",,NO,NO
广东碧桂园职业学院,507,专业组507,,NO,NO
广东酒店管理职业技术学院,505,专业组505,,NO,NO
广东茂名幼儿师范专科学校(协同培养),531,专业组531,,NO,NO
"东
广东茂名幼儿师范专科学校",532,专业组532,,NO,NO
广东江门幼儿师范高等专科学校,513,专业组513,,NO,NO
广东江门幼儿师范高等专科学校,514,专业组514,,NO,NO
"广
广东江门幼儿师范高等专科学校",516,专业组516,,NO,NO
广州幼儿师范高等专科学校,503,专业组503,,NO,NO
上饶幼儿师范高等专科学校,505,专业组505,,NO,NO
湛江幼儿师范专科学校,508,专业组508,,NO,NO
湛江幼儿师范专科学校,509,专业组509,,NO,NO
韶关学院,"教
178","专业组教
178",,NO,NO
"省
肇庆医学院",104,专业组104,,NO,NO
"东
肇庆医学院",108,专业组108,,NO,NO
"广
肇庆医学院",111,专业组111,,NO,NO
惠州卫生职业技术学院,70,专业组070,,NO,NO
惠州卫生职业技术学院,71,专业组071,,NO,NO
惠州卫生职业技术学院,72,专业组072,,NO,NO
惠州卫生职业技术学院,73,专业组073,,NO,NO
惠州卫生职业技术学院,74,专业组074,,NO,NO
惠州卫生职业技术学院,75,专业组075,,NO,NO
惠州卫生职业技术学院,"教
076","专业组教
076",,NO,NO
惠州卫生职业技术学院,77,专业组077,,NO,NO
惠州卫生职业技术学院,78,专业组078,,NO,NO
惠州卫生职业技术学院,79,专业组079,,NO,NO
"省
惠州卫生职业技术学院",80,专业组080,,NO,NO
惠州卫生职业技术学院,81,专业组081,,NO,NO
惠州卫生职业技术学院,82,专业组082,,NO,NO
惠州卫生职业技术学院,83,专业组083,,NO,NO
"东
惠州卫生职业技术学院",84,专业组084,,NO,NO
惠州卫生职业技术学院,85,专业组085,,NO,NO
惠州卫生职业技术学院,86,专业组086,,NO,NO
"广
惠州卫生职业技术学院",87,专业组087,,NO,NO
惠州卫生职业技术学院,88,专业组088,,NO,NO
东北师范大学,"教
107","专业组教
107",,NO,NO
"省
上海海关学院",106,专业组106,,NO,NO
"东
江西师范大学",102,专业组102,,NO,NO
"广
武汉大学",102,专业组102,,NO,NO
"香港中文大学(深圳)
(内地香港合作办学)",102,专业组102,,NO,NO
"中国人民大学(苏州校区)
(中外合作办学)",102,专业组102,,NO,NO
集美大学,"教
104","专业组教
104",,NO,NO
"省
华中师范大学",116,专业组116,,NO,NO
"东
中南财经政法大学",107,专业组107,,NO,NO
"广
广东海洋大学",101,专业组101,,NO,NO
"香港中文大学(深圳)
(内地香港合作办学)",101,专业组101,,NO,NO
"香港科技大学(广州)
(内地香港合作办学)",101,专业组101,,NO,NO
"香港科技大学(广州)
(内地香港合作办学)",102,专业组102,,NO,NO
"香港科技大学(广州)
(内地香港合作办学)",103,专业组103,,NO,NO
香港中文大学,"教
112","专业组教
112",,NO,NO
香港城市大学,114,专业组114,,NO,NO
"省
香港城市大学",116,专业组116,,NO,NO
香港城市大学,118,专业组118,,NO,NO
华南师范大学,105,专业组105,,NO,NO
华南师范大学,106,专业组106,,NO,NO
华南师范大学,107,专业组107,,NO,NO
华南师范大学,108,专业组108,,NO,NO
华南师范大学,109,专业组109,,NO,NO
华南师范大学,110,专业组110,,NO,NO
韶关学院,121,专业组121,,NO,NO
韶关学院,122,专业组122,,NO,NO
韶关学院,123,专业组123,,NO,NO
韶关学院,124,专业组124,,NO,NO
韶关学院,125,专业组125,,NO,NO
韶关学院,126,专业组126,,NO,NO
韶关学院,127,专业组127,,NO,NO
韶关学院,128,专业组128,,NO,NO
惠州学院,109,专业组109,,NO,NO
惠州学院,110,专业组110,,NO,NO
韩山师范学院,115,专业组115,,NO,NO
韩山师范学院,116,专业组116,,NO,NO
韩山师范学院,117,专业组117,,NO,NO
岭南师范学院,143,专业组143,,NO,NO
岭南师范学院,144,专业组144,,NO,NO
岭南师范学院,145,专业组145,,NO,NO
肇庆学院,111,专业组111,,NO,NO
肇庆学院,112,专业组112,,NO,NO
肇庆学院,"教
113","专业组教
113",,NO,NO
肇庆学院,114,专业组114,,NO,NO
肇庆学院,115,专业组115,,NO,NO
嘉应学院,121,专业组121,,NO,NO
"省
嘉应学院",122,专业组122,,NO,NO
嘉应学院,123,专业组123,,NO,NO
广东第二师范学院,103,专业组103,,NO,NO
"东
广东第二师范学院",104,专业组104,,NO,NO
广东第二师范学院,105,专业组105,,NO,NO
华南师范大学,111,专业组111,,NO,NO
华南师范大学,112,专业组112,,NO,NO
华南师范大学,113,专业组113,,NO,NO
华南师范大学,114,专业组114,,NO,NO
华南师范大学,115,专业组115,,NO,NO
惠州学院,111,专业组111,,NO,NO
惠州学院,112,专业组112,,NO,NO
韩山师范学院,118,专业组118,,NO,NO
韩山师范学院,119,专业组119,,NO,NO
韩山师范学院,120,专业组120,,NO,NO
韩山师范学院,121,专业组121,,NO,NO
岭南师范学院,146,专业组146,,NO,NO
岭南师范学院,147,专业组147,,NO,NO
岭南师范学院,148,专业组148,,NO,NO
肇庆学院,116,专业组116,,NO,NO
肇庆学院,117,专业组117,,NO,NO
肇庆学院,118,专业组118,,NO,NO
肇庆学院,119,专业组119,,NO,NO
肇庆学院,120,专业组120,,NO,NO
肇庆学院,121,专业组121,,NO,NO
肇庆学院,122,专业组122,,NO,NO
肇庆学院,123,专业组123,,NO,NO
肇庆学院,124,专业组124,,NO,NO
肇庆学院,125,专业组125,,NO,NO
肇庆学院,"教
126","专业组教
126",,NO,NO
嘉应学院,124,专业组124,,NO,NO
嘉应学院,125,专业组125,,NO,NO
嘉应学院,126,专业组126,,NO,NO
嘉应学院,"省
127","专业组省
127",,NO,NO
嘉应学院,128,专业组128,,NO,NO
嘉应学院,129,专业组129,,NO,NO
"东
嘉应学院",130,专业组130,,NO,NO
广州大学,140,专业组140,,NO,NO
广州大学,141,专业组141,,NO,NO
广州大学,142,专业组142,,NO,NO
华南师范大学,116,专业组116,,NO,NO
华南师范大学,117,专业组117,,NO,NO
华南师范大学,118,专业组118,,NO,NO
华南师范大学,119,专业组119,,NO,NO
华南师范大学,120,专业组120,,NO,NO
